raceNumber;time;contestant;score;child
20;1512821601.82751;Jens_0_9.000000;4440.7955447;
20;1512821601.82751;Fred_1_0.001553;4421.37410762;
20;1512821601.82751;Earl_0_4.000000;4413.97964889;
20;1512821601.82751;Olga_0_14.000000;4395.111682;
20;1512821601.82751;Vlad_0_21.000000;3263.26751856;
20;1512821601.82751;Rick_0_17.000000;3139.6349683;RIP
21;1512821609.957155;Anne_2_0.058151;3706.24539578;Anne_3_0.100439
21;1512821609.957155;Anne_0_0.000000;2837.68438116;
21;1512821609.957155;Vlad_0_21.000000;2808.76830473;
21;1512821609.957155;Stan_1_0.008094;2792.76723669;
21;1512821609.957155;Nora_0_13.000000;2786.14741984;
21;1512821609.957155;Anne_1_0.083448;2750.27247114;
21;1512821609.957155;Fred_1_0.001553;2671.38321328;
21;1512821609.957155;Bart_4_0.007138;2026.62437922;
21;1512821609.957155;Carl_0_2.000000;1645.72333567;
21;1512821609.957155;Bart_1_0.242185;62.2087;RIP
22;1512821618.7114847;Bart_4_0.007138;3383.22574673;Bart_5_0.307371
22;1512821618.7114847;Bart_2_0.000097;3241.68935166;
22;1512821618.7114847;Uris_0_20.000000;3201.96116762;
22;1512821618.7114847;Bart_2_0.313999;3172.54639395;
22;1512821618.7114847;Anne_1_0.083448;3171.75306044;
22;1512821618.7114847;Xavi_0_23.000000;3071.4719885;
22;1512821618.7114847;Daan_0_3.000000;3066.48932078;
22;1512821618.7114847;Stan_1_0.008094;3043.87357806;
22;1512821618.7114847;Olga_0_14.000000;2976.0234238;
22;1512821618.7114847;Jens_0_9.000000;2964.1974854;RIP
23;1512821623.6340091;Anne_2_0.058151;1258.77598726;Anne_3_0.345053
23;1512821623.6340091;Fred_0_5.000000;1143.71709633;
23;1512821623.6340091;Carl_0_2.000000;1143.34597205;
23;1512821623.6340091;Bart_2_0.000097;1142.17213717;
23;1512821623.6340091;Kent_0_10.000000;1117.26957683;
23;1512821623.6340091;Daan_0_3.000000;1044.80178669;
23;1512821623.6340091;Olga_0_14.000000;1044.29666478;
23;1512821623.6340091;Stan_1_0.008094;1006.34693451;
23;1512821623.6340091;Uris_0_20.000000;1000.09090583;
23;1512821623.6340091;Walt_0_22.000000;969.434829572;RIP
24;1512821632.5211399;Bart_1_0.001727;3313.14172404;Bart_2_0.129644
24;1512821632.5211399;Anne_0_0.000000;3251.14487741;
24;1512821632.5211399;Anne_2_0.058151;3248.69682877;
24;1512821632.5211399;Anne_1_0.036003;3244.21906387;
24;1512821632.5211399;Anne_1_0.083448;3171.13751859;
24;1512821632.5211399;Vlad_0_21.000000;3159.94433438;
24;1512821632.5211399;Fred_0_5.000000;3142.20200056;
24;1512821632.5211399;Earl_0_4.000000;3115.78771191;
24;1512821632.5211399;Olga_0_14.000000;3080.04693774;
24;1512821632.5211399;Anne_3_0.100439;2984.7424943;RIP
25;1512821644.1803424;Anne_0_0.000000;6012.09632454;Anne_1_0.005707
25;1512821644.1803424;Bart_0_1.000000;6002.3106801;
25;1512821644.1803424;Anne_1_0.083448;5653.06466046;
25;1512821644.1803424;Bart_2_0.270291;5558.75059629;
25;1512821644.1803424;Earl_0_4.000000;5490.66638365;
25;1512821644.1803424;Carl_0_2.000000;5194.86603744;
25;1512821644.1803424;Anne_2_0.058151;4201.34128656;
25;1512821644.1803424;Xavi_0_23.000000;4061.88071051;
25;1512821644.1803424;Kent_0_10.000000;3949.75964299;
25;1512821644.1803424;Bart_2_0.129644;2442.08126799;RIP
26;1512821655.1043928;Bart_5_0.307371;5205.74434241;Bart_6_1.130999
26;1512821655.1043928;Bart_2_0.270291;5195.04062548;
26;1512821655.1043928;Bart_3_0.024610;5174.48675449;
26;1512821655.1043928;Bart_4_0.007138;5170.25359103;
26;1512821655.1043928;Anne_0_0.000000;4935.74021615;
26;1512821655.1043928;Earl_0_4.000000;4929.29982559;
26;1512821655.1043928;Anne_1_0.083448;4889.36810141;
26;1512821655.1043928;Bart_2_0.313999;4794.74321767;
26;1512821655.1043928;Fred_0_5.000000;4602.00910728;
26;1512821655.1043928;Stan_1_0.008094;2881.81806466;RIP
27;1512821666.0668075;Bart_5_0.307371;5486.22675036;Bart_6_0.123225
27;1512821666.0668075;Bart_3_0.024610;5296.12764818;
27;1512821666.0668075;Bart_1_0.001727;5293.23960384;
27;1512821666.0668075;Bart_2_0.000097;5279.71935932;
27;1512821666.0668075;Bart_0_1.000000;5201.46374235;
27;1512821666.0668075;Anne_2_0.058151;5032.69076034;
27;1512821666.0668075;Fred_0_5.000000;5019.64934227;
27;1512821666.0668075;Bart_4_0.007138;4983.85927684;
27;1512821666.0668075;Xavi_0_23.000000;4940.82217707;
27;1512821666.0668075;Vlad_0_21.000000;2843.66801426;RIP
28;1512821677.8051555;Bart_5_0.307371;5989.57874218;Bart_6_0.110667
28;1512821677.8051555;Bart_2_0.000097;5981.1118085;
28;1512821677.8051555;Anne_0_0.000000;5979.92105155;
28;1512821677.8051555;Bart_2_0.313999;5953.48528897;
28;1512821677.8051555;Earl_0_4.000000;5762.51589607;
28;1512821677.8051555;Carl_0_2.000000;5750.91855682;
28;1512821677.8051555;Bart_4_0.007138;5544.4411933;
28;1512821677.8051555;Fred_0_5.000000;5289.77378916;
28;1512821677.8051555;Xavi_0_23.000000;2193.95577636;
28;1512821677.8051555;Anne_3_0.345053;911.166408923;RIP
29;1512821688.7618442;Bart_6_0.123225;5561.25366385;Bart_7_0.121911
29;1512821688.7618442;Bart_6_0.110667;5561.0315615;
29;1512821688.7618442;Bart_2_0.270291;5534.96381504;
29;1512821688.7618442;Bart_2_0.313999;5320.14021342;
29;1512821688.7618442;Bart_0_1.000000;5284.27166926;
29;1512821688.7618442;Carl_0_2.000000;4840.9291183;
29;1512821688.7618442;Bart_6_1.130999;4772.02852475;
29;1512821688.7618442;Daan_0_3.000000;4398.94729784;
29;1512821688.7618442;Kent_0_10.000000;3096.47512637;
29;1512821688.7618442;Nora_0_13.000000;3082.80342839;RIP
30;1512821699.1612868;Bart_6_0.123225;4995.78080593;Bart_7_0.073002
30;1512821699.1612868;Bart_5_0.307371;4976.49631513;
30;1512821699.1612868;Bart_6_0.110667;4939.73059181;
30;1512821699.1612868;Anne_1_0.036003;4857.4560437;
30;1512821699.1612868;Anne_0_0.000000;4844.16748376;
30;1512821699.1612868;Earl_0_4.000000;4735.50971238;
